,Unnamed: 0,brand,model_name,screen_size,ram,rom,cams,sim_type,battary,sale_percentage,product_rating,seller_name,seller_score,seller_followers,Reviews,price
172,172,12,Find 40 ,6.6,2.0,32.0,5MP + 13MP,2,4000.0,23%,0.0,Sowhat Mobiles,80%,4,No reviews,3809057.2
173,173,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,30%,0.0,SmartNets Enterprises,74%,249,No reviews,4930356.0
174,174,8,Galaxy A34 5G ,6.6,6.0,128.0,48MP + 8MP + 5MP + 13MP,2,5000.0,0,0.0,Iconcept mobile,94%,103,No reviews,5483893.5
175,175,4,Redmi A2 ,6.52,3.0,64.0,8MP + 5MP,2,5000.0,16%,0.0,XIAOMI KE,100%,9268,No reviews,2406188.2
176,176,5,Spark 10 Pro ,6.8,16.0,256.0,50MP + 2MP + 32MP,2,5000.0,33%,0.0,Minestar,86%,1002,No reviews,4608557.5
177,177,6,A17 ,6.56,4.0,64.0,50MP + 2MP + 5MP,2,0.0,46%,0.0,Minestar,86%,1002,No reviews,3924825.8
178,178,5,Spark 10 Pro ,6.8,16.0,256.0,50MP + 2MP + 32MP,2,5000.0,33%,0.0,Minestar,86%,1002,No reviews,4608557.5
179,179,6,A17K ,6.56,3.0,64.0,8MP + 2MP + 5MP,2,5000.0,14%,0.0,Minestar,86%,1002,No reviews,2745075.2
180,180,13,IPhone 15 Pro ,6.1,8.0,256.0,48MP + 12MP + 12MP + 12MP + 12MP,1,3274.0,0,0.0,CELLTIC CORNER,100%,592,No reviews,31457830.0
181,181,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,30%,0.0,Minestar,86%,1002,No reviews,4930356.0
182,182,5,Spark 10C ,6.6,8.0,128.0,16MP + 2MP,2,5000.0,40%,0.0,Minestar,86%,1002,No reviews,3314947.8
183,183,6,A18 ,6.56,4.0,128.0,8MP + 2MP + 5MP,2,5000.0,32%,0.0,Minestar,86%,1002,No reviews,3473607.8
184,184,8,Galaxy Note20 Ultra 5G ,6.9,12.0,128.0,108MP + 12MP + 12MP + 10MP,2,0.0,21%,0.0,Smart Products Kenya,86%,14,No reviews,12670831.0
185,185,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,22%,1.0,Superfly,74%,284,No reviews,2196155.8
186,186,6,A58 ,6.72,6.0,128.0,50MP + 2MP + 8MP,2,5000.0,34%,0.0,Minestar,86%,1002,No reviews,4246751.0
187,187,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,24%,3.5,Superfly,74%,284,No reviews,2196155.8
188,188,8,Galaxy A14 ,6.6,4.0,64.0,50MP + 2MP + 2MP + 13MP,2,5000.0,0,5.0,CELLTIC CORNER,100%,592,No reviews,3678840.5
189,189,6,Reno 10 5G ,6.7,8.0,256.0,64MP + 32MP + 8MP + 32MP,2,5000.0,23%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,8531926.0
190,190,8,Galaxy F23 5G ,6.6,6.0,128.0,50MP + 8MP + 2MP + 8MP,2,5000.0,10%,0.0,Superfly,74%,284,No reviews,5483893.5
191,191,4,Redmi Note 12s ,6.43,8.0,256.0,108MP + 8MP + 2MP + 12MP,2,5000.0,5%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,5505425.0
192,192,7,C1 2nd Edition ,5.45,1.0,16.0,5MP + 5MP,2,0.0,25%,0.0,Minestar,86%,1002,No reviews,1673519.9
193,193,8,Galaxy A24 4G ,6.5,4.0,128.0,50MP + 5MP + 2MP + 13MP,2,5000.0,17%,5.0,Iconcept mobile,94%,103,No reviews,4849609.0
194,194,6,A17K ,6.56,3.0,64.0,8MP + 2MP + 5MP,2,5000.0,15%,0.0,Minestar,86%,1002,No reviews,2745075.2
195,195,6,A98 5G ,6.72,8.0,256.0,64MP + 2MP + 2MP + 32MP,2,5000.0,30%,0.0,Minestar,86%,1002,No reviews,6659777.5
196,196,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,29%,0.0,SmartNets Enterprises,74%,249,No reviews,4930356.0
197,197,6,A17K ,6.56,3.0,64.0,8MP + 2MP + 5MP,2,5000.0,12%,0.0,Minestar,86%,1002,No reviews,2745075.2
198,198,4,Redmi 10A ,6.53,4.0,128.0,13MP + 5MP,2,5000.0,1%,0.0,Superfly,74%,284,No reviews,2925276.0
199,199,2,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,2,5000.0,24%,0.0,Superfly,74%,284,No reviews,2282980.2
200,200,6,A18 ,6.56,4.0,128.0,8MP + 2MP + 5MP,2,5000.0,20%,0.0,Kingsly,74%,287,No reviews,3473607.8
201,201,6,A58 Display ,6.72,6.0,128.0,0/2MP + 8MP,2,5000.0,27%,0.0,Kingsly,74%,287,No reviews,4246751.0
202,202,8,Galaxy F23 5G ,6.6,6.0,128.0,50MP + 8MP + 2MP + 8MP,2,5000.0,10%,4.0,Superfly,74%,284,[ (4 out of 5) latest mobile ],5483893.5
203,203,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,32%,3.7,Little Angels,40%,1014,[ (5 out of 5) I like it ],2196155.8
204,204,6,A17 ,6.56,4.0,64.0,13MP + 5MP,2,5000.0,8%,5.0,Superfly,74%,284,No reviews,3099868.5
205,205,5,Spark 10 Pro Display ,6.8,8.0,256.0,50MP + 32MP,2,5000.0,31%,4.0,Kingsly,74%,287,No reviews,4648022.0
206,206,4,Redmi 12c ,6.71,4.0,128.0,50MP + 0.08MP + 5MP,2,5000.0,1%,5.0,KM KENYA ELECTRONICS,80%,1467,No reviews,2872567.0
207,207,8,Galaxy A04s ,6.5,4.0,128.0,50MP + 2MP + 2MP + 5MP,2,5000.0,16%,0.0,Minestar,86%,1002,No reviews,4849609.0
208,208,4,Redmi Note 12 ,6.67,6.0,128.0,50MP + 8MP + 2MP,2,0.0,8%,0.0,Superfly,74%,284,No reviews,4141928.8
209,209,6,Reno10 5G ,6.7,8.0,256.0,64MP + 32MP + 8MP + 32MP,2,5000.0,29%,0.0,KM KENYA ELECTRONICS,80%,1467,No reviews,8531926.0
210,210,6,A17K ,6.56,3.0,64.0,8MP,2,5000.0,16%,0.0,KM KENYA ELECTRONICS,80%,1467,No reviews,2745075.2
211,211,6,Reno10 Pro ,6.7,12.0,256.0,50MP + 32MP + 8MP + 32MP,2,4600.0,4%,0.0,KM KENYA ELECTRONICS,80%,1467,No reviews,9725545.0
212,212,5,Spark 10C ,6.6,8.0,128.0,16MP + 2MP,2,5000.0,28%,0.0,Minestar,86%,1002,No reviews,3314947.8
213,213,8,Galaxy M34 5G ,6.5,6.0,128.0,50MP + 8MP + 2MP + 13MP,2,6000.0,27%,0.0,KM KENYA ELECTRONICS,80%,1467,No reviews,5816494.5
214,214,8,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,2,5000.0,45%,0.0,Minestar,86%,1002,No reviews,3678840.5
215,215,8,Galaxy A14 4G ,6.6,4.0,128.0,50MP + 2MP + 2MP + 13MP,2,5000.0,14%,0.0,NGALA STORE,94%,123,No reviews,3388018.2
216,216,8,Galaxy S10 ,6.1,8.0,128.0,948MP,1,0.0,0,0.0,Jinsheng Digital,50%,4,No reviews,7386531.0
217,217,8,Galaxy A04s ,6.5,4.0,64.0,50MP + 2MP + 2MP + 5MP,2,5000.0,20%,5.0,Avenue Phones,100%,696,No reviews,3048273.0
218,218,10,Y36 ,6.64,8.0,128.0,50MP + 2MP + 16MP,2,5000.0,21%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,6740482.0
219,219,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,0.0,25%,0.0,Superfly,74%,284,No reviews,2309578.0
220,220,5,Pop 7 ,6.6,2.0,64.0,5MP + 8MP,2,5000.0,20%,5.0,t markets,98%,3,No reviews,2030862.1
221,221,4,Redmi 10C ,6.7,4.0,128.0,5MP,2,0.0,1%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,3521660.5
222,222,11,C55 ,6.72,6.0,128.0,64MP,2,5000.0,10%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,6112310.5
223,223,4,Redmi 10C ,6.7,4.0,64.0,5MP,2,0.0,8%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,3368452.0
224,224,2,Hot 30 ,6.78,8.0,256.0,50MP + 8MP,2,5000.0,8%,0.0,Minestar,86%,1002,No reviews,4908096.5
225,225,6,A58 ,6.72,8.0,128.0,50MP + 2MP + 8MP,2,5000.0,25%,0.0,Minestar,86%,1002,No reviews,4410823.5
226,226,5,Spark 10 Pro ,6.6,8.0,128.0,50MP + 32MP,2,5000.0,22%,0.0,Kingsly,74%,287,No reviews,3314947.8
227,227,5,Spark 10 Pro ,6.8,16.0,256.0,50MP + 32MP,2,5000.0,20%,0.0,VANTON TECH,60%,150,No reviews,4608557.5
228,228,2,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,2,5000.0,31%,4.0,Little Angels,40%,1014,[ (5 out of 5) jumia ],2282980.2
229,229,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,28%,0.0,SmartNets Enterprises,74%,249,No reviews,4930356.0
230,230,8,Galaxy Note20 Ultra 5G ,6.9,12.0,128.0,108MP + 12MP + 12MP + 10MP,2,0.0,21%,0.0,Smart Products Kenya,86%,14,No reviews,12670831.0
231,231,8,Galaxy A04 ,6.5,4.0,64.0,50MP + 2MP + 2MP + 5MP,2,5000.0,32%,3.5,CELLINY COLLECTIONS,74%,967,"[ (4 out of 5) Good ], [ (2 out of 5) Always need to reboot when turned on ], [ (3 out of 5) I like it ]",3048273.0
232,232,7,C32 ,6.5,11.0,64.0,50MP + 2MP + 8MP,2,0.0,7%,0.0,Minestar,86%,1002,No reviews,2910302.8
233,233,8,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,2,5000.0,23%,5.0,Superfly,74%,284,No reviews,3678840.5
234,234,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,24%,3.5,Superfly,74%,284,No reviews,2196155.8
235,235,11,C55 ,6.72,8.0,256.0,64MP,2,5000.0,10%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,6369917.0
236,236,11,C33 ,6.5,4.0,128.0,50MP + 5MP,2,5000.0,16%,4.6,Minestar,86%,1002,[ (5 out of 5) its a good phone ],5513320.0
237,237,5,Spark 10 Pro ,6.8,24.0,128.0,50MP + 32MP,2,0.0,21%,5.0,KM KENYA ELECTRONICS,80%,1467,No reviews,3656484.0
238,238,7,C12 ,6.3,2.0,64.0,8MP + 5MP,2,3000.0,18%,0.0,SmartNets Enterprises,74%,249,No reviews,2315309.2
239,239,5,Pop 7 Pro Display ,6.56,4.0,64.0,13MP + 5MP,2,5000.0,24%,0.0,Kingsly,74%,287,No reviews,2615696.0
240,240,6,Reno 8 4G ,6.43,8.0,256.0,2MP + 32MP,2,4500.0,25%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,7665451.5
241,241,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,34%,0.0,Minestar,86%,1002,No reviews,3159050.0
242,242,2,HOT 12 Display ,6.82,4.0,128.0,13MP + 8MP,2,5000.0,20%,3.5,Kingsly,74%,287,No reviews,3414964.2
243,243,5,Pop 7 Pro Disp ,6.56,3.0,64.0,13MP + 5MP,2,5000.0,16%,0.0,Kingsly,74%,287,No reviews,2323680.5
244,244,5,CAMON 20 Pro 4G Mr Doodle Edition Night ,6.67,16.0,256.0,32MP + 64MP,2,5000.0,20%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,5626452.0
245,245,4,REDMI A2 PLUS ,6.52,2.0,32.0,8MP + 5MP,2,0.0,23%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,2379093.8
246,246,2,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,2,5000.0,32%,5.0,Little Angels,40%,1014,No reviews,2282980.2
247,247,7,C12 ,6.3,2.0,64.0,8MP + 5MP,2,3000.0,21%,0.0,SmartNets Enterprises,74%,249,No reviews,2315309.2
248,248,8,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,2,5000.0,45%,0.0,Minestar,86%,1002,No reviews,3678840.5
249,249,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,24%,0.0,Superfly,74%,284,No reviews,3159050.0
250,250,8,Galaxy Z Flip5 ,6.7,8.0,256.0,12MP + 12MP + 10MP,2,3700.0,0,0.0,CELLTIC CORNER,100%,592,No reviews,19838498.0
251,251,11,C33 ,6.5,4.0,128.0,50MP + 5MP,2,5000.0,19%,0.0,Minestar,86%,1002,No reviews,5513320.0
